type;created_at;snapshot_id;status;parent;branch;depth;idea;benchmark_preset;native_avg;native_p50;timsort_avg;timsort_p50;delta_vs_immediate_parent_overall_score_p50;display_preset_improvement_vs_native_avg;preset_score_p50;display_preset_improvement_vs_native_p50;anchor_id;anchor_score_p50;delta_vs_anchor_score_p50;suite_presets;primary_metric;preset_quick_score_p50;anchor_preset_quick_score_p50;delta_vs_anchor_preset_quick_score_p50;preset_medium_score_p50;anchor_preset_medium_score_p50;delta_vs_anchor_preset_medium_score_p50;preset_balanced_score_p50;anchor_preset_balanced_score_p50;delta_vs_anchor_preset_balanced_score_p50;passed;failed;total_ms;threshold;tests_failed;anchor_preset_score_p50;current_preset_score_p50;delta_vs_anchor_preset_score_p50;benchmark_step_total;iteration_total;suite_benchmark_current_total;suite_benchmark_parent_total;suite_benchmark_combined_total;overall_score_p50;anchor_overall_score_p50;delta_vs_anchor_overall_score_p50;anchor_improvement_vs_native_overall_p50;improvement_vs_native_overall_p50
snapshot;2026-03-21T14:45:52.413Z;0011;loser;0000;B03;1;implementation: disable copyWithin path (very high bulk threshold);medium;59,070 ms;57,117 ms;55,171 ms;54,588 ms;n/a;6,600%;0,929537;7,046%;0000;0,983209;2,277%;quick,medium,balanced;overall_geomean_score_p50;1,017902;0,961023;-5,919%;0,929537;0,990697;6,173%;0,937469;0,998304;6,094%;7/7;0;285,268 ms;1,00%;0;0,990697;0,929537;6,173%;79196,000 ms (79,196 s);79491,000 ms (79,491 s);38884,670 ms (38,885 s);39697,540 ms (39,698 s);78582,209 ms (78,582 s);0,960823;0,983209;2,277%;1,679%;3,918%
snapshot;2026-03-21T14:47:30.238Z;0012;loser;0011;B03;2;implementation: partial copyWithin restore with threshold96;medium;59,339 ms;62,462 ms;57,765 ms;55,383 ms;-4,232%;2,652%;0,982702;1,730%;0000;1,004409;0,291%;quick,medium,balanced;overall_geomean_score_p50;1,028011;1,030190;0,211%;0,982702;0,969800;-1,330%;0,994286;1,014220;1,966%;7/7;0;273,949 ms;1,00%;0;0,969800;0,982702;-1,330%;78871,000 ms (78,871 s);79154,000 ms (79,154 s);39067,335 ms (39,067 s);39225,676 ms (39,226 s);78293,011 ms (78,293 s);1,001483;1,004409;0,291%;-0,441%;-0,148%
snapshot;2026-03-21T14:49:12.320Z;0013;loser;0012;B03;3;implementation: push copyWithin threshold96->256;medium;59,529 ms;57,123 ms;56,611 ms;53,734 ms;1,299%;4,901%;0,951649;4,835%;0000;0,993126;0,469%;quick,medium,balanced;overall_geomean_score_p50;1,035027;1,036290;0,122%;0,951649;0,997203;4,568%;0,980542;0,947869;-3,447%;7/7;0;267,334 ms;1,00%;0;0,997203;0,951649;4,568%;80295,000 ms (80,295 s);80571,000 ms (80,571 s);39648,412 ms (39,648 s);40023,609 ms (40,024 s);79672,020 ms (79,672 s);0,988473;0,993126;0,469%;0,687%;1,153%
snapshot;2026-03-21T14:50:50.309Z;0014;loser;0013;B03;4;implementation: tune copyWithin threshold256->128;medium;53,375 ms;49,531 ms;52,870 ms;47,425 ms;-1,993%;0,947%;0,985854;1,415%;0000;0,983101;-2,550%;quick,medium,balanced;overall_geomean_score_p50;1,012577;0,923764;-9,614%;0,985854;1,043789;5,551%;1,026516;0,985417;-4,171%;7/7;0;249,588 ms;1,00%;0;1,043789;0,985854;5,551%;76188,000 ms (76,188 s);76447,000 ms (76,447 s);36282,442 ms (36,282 s);39343,960 ms (39,344 s);75626,402 ms (75,626 s);1,008174;0,983101;-2,550%;1,690%;-0,817%
snapshot;2026-03-21T14:52:29.721Z;0015;loser;0014;B03;5;implementation: final B03 shot case4 shift + threshold256;medium;56,723 ms;59,410 ms;56,703 ms;53,478 ms;1,947%;0,036%;1,012732;-1,273%;0000;1,058646;6,622%;quick,medium,balanced;overall_geomean_score_p50;0,993510;1,078188;7,854%;1,012732;0,983870;-2,934%;0,960099;1,118461;14,159%;7/7;0;293,074 ms;1,00%;0;0,983870;1,012732;-2,934%;78136,000 ms (78,136 s);78438,000 ms (78,438 s);37797,843 ms (37,798 s);39752,684 ms (39,753 s);77550,527 ms (77,551 s);0,988540;1,058646;6,622%;-5,865%;1,146%
snapshot;2026-03-21T14:54:12.396Z;0016;winner;0000;B04;1;implementation: root branch pure minGalloping 7->8;medium;55,366 ms;51,494 ms;52,854 ms;46,417 ms;n/a;4,537%;0,971476;2,852%;0000;1,014207;3,161%;quick,medium,balanced;overall_geomean_score_p50;0,961704;0,998227;3,659%;0,971476;1,012413;4,044%;1,014036;1,032269;1,766%;7/7;0;314,417 ms;1,00%;0;1,012413;0,971476;4,044%;77856,000 ms (77,856 s);78179,000 ms (78,179 s);38573,541 ms (38,574 s);38685,981 ms (38,686 s);77259,522 ms (77,260 s);0,982145;1,014207;3,161%;-1,421%;1,785%
snapshot;2026-03-21T14:56:10.567Z;0017;loser;0016;B04.S01;1;implementation: child of 0016 raise minGalloping 8->9;medium;57,058 ms;57,245 ms;56,028 ms;50,510 ms;-2,624%;1,805%;0,994053;0,595%;0016;1,013138;0,516%;quick,medium,balanced;overall_geomean_score_p50;1,040531;1,028784;-1,142%;0,994053;1,007974;1,381%;0,989934;1,002840;1,287%;7/7;0;280,134 ms;1,00%;0;1,007974;0,994053;1,381%;77122,000 ms (77,122 s);77412,000 ms (77,412 s);38312,954 ms (38,313 s);38214,380 ms (38,214 s);76527,334 ms (76,527 s);1,007914;1,013138;0,516%;-1,314%;-0,791%
snapshot;2026-03-21T14:57:48.468Z;0018;loser;0017;B04.S01;2;implementation: child of 0016 lower minGalloping 8->7;medium;56,657 ms;52,543 ms;54,825 ms;48,904 ms;-2,334%;3,234%;0,998714;0,129%;0016;1,023732;-0,752%;quick,medium,balanced;overall_geomean_score_p50;1,091886;1,032357;-5,766%;0,998714;1,021699;2,250%;1,006252;1,017200;1,076%;7/7;0;278,922 ms;1,00%;0;1,021699;0,998714;2,250%;76186,000 ms (76,186 s);76473,000 ms (76,473 s);37625,582 ms (37,626 s);37962,860 ms (37,963 s);75588,443 ms (75,588 s);1,031435;1,023732;-0,752%;-2,373%;-3,144%
snapshot;2026-03-21T14:59:27.922Z;0019;loser;0018;B04.S01;3;implementation: return to minGalloping8 + add case4 insertion shift;medium;58,167 ms;56,641 ms;59,081 ms;61,461 ms;-0,513%;-1,571%;1,064360;-6,436%;0016;1,036004;-0,069%;quick,medium,balanced;overall_geomean_score_p50;1,000384;1,082661;7,600%;1,064360;1,008343;-5,555%;1,046481;1,018551;-2,742%;7/7;0;302,212 ms;1,00%;0;1,008343;1,064360;-5,555%;77451,000 ms (77,451 s);77765,000 ms (77,765 s);39027,815 ms (39,028 s);37838,658 ms (37,839 s);76866,473 ms (76,866 s);1,036722;1,036004;-0,069%;-3,600%;-3,672%
snapshot;2026-03-21T15:01:08.807Z;0020;loser;0019;B04.S01;4;implementation: min8 + threshold24 (remove case4 shift);medium;58,611 ms;60,306 ms;57,069 ms;50,590 ms;-0,366%;2,631%;1,010793;-1,079%;0016;1,033310;-0,697%;quick,medium,balanced;overall_geomean_score_p50;1,110346;1,100649;-0,881%;1,010793;0,972175;-3,972%;1,003754;1,031095;2,652%;7/7;0;288,236 ms;1,00%;0;0,972175;1,010793;-3,972%;77351,000 ms (77,351 s);77646,000 ms (77,646 s);38732,527 ms (38,733 s);38021,168 ms (38,021 s);76753,696 ms (76,754 s);1,040517;1,033310;-0,697%;-3,331%;-4,052%
snapshot;2026-03-21T15:12:36.194Z;0021;loser;0020;B04.S01;5;implementation: min8 + lower bulk copy threshold 24->16;medium;60,096 ms;57,045 ms;63,549 ms;62,189 ms;-6,478%;-5,746%;1,055156;-5,516%;0016;1,028617;-7,709%;quick,medium,balanced;overall_geomean_score_p50;1,164260;1,058994;-9,940%;1,055156;0,977139;-7,984%;1,107020;1,051747;-5,255%;7/7;0;313,942 ms;1,00%;0;0,977139;1,055156;-7,984%;80523,000 ms (80,523 s);80846,000 ms (80,846 s);40596,783 ms (40,597 s);39325,857 ms (39,326 s);79922,640 ms (79,923 s);1,107917;1,028617;-7,709%;-2,862%;-10,792%
snapshot;2026-03-21T15:14:19.864Z;0022;loser;0016;B04.S02;1;adaptive candidate: disable copyWithin path (very high bulk threshold) from minGalloping=8 anchor;medium;59,848 ms;63,794 ms;55,631 ms;55,916 ms;2,148%;7,046%;0,885654;11,435%;0016;1,013407;5,167%;quick,medium,balanced;overall_geomean_score_p50;1,044020;1,033934;-0,976%;0,885654;0,988786;10,430%;0,959983;1,018020;5,701%;7/7;0;280,060 ms;1,00%;0;0,988786;0,885654;10,430%;79274,000 ms (79,274 s);79564,000 ms (79,564 s);39071,713 ms (39,072 s);39590,932 ms (39,591 s);78662,645 ms (78,663 s);0,961049;1,013407;5,167%;-1,341%;3,895%
snapshot;2026-03-21T15:15:52.097Z;0023;winner;0022;B04.S02;2;adaptive tuning: reduce bulk threshold 1000000->256 to recover quick while keeping medium/balanced gains;medium;60,232 ms;58,739 ms;58,586 ms;54,609 ms;-6,698%;2,733%;0,976479;2,352%;0016;1,037862;1,198%;quick,medium,balanced;overall_geomean_score_p50;1,071311;1,086231;1,374%;0,976479;0,989819;1,348%;1,030698;1,039779;0,873%;7/7;0;274,147 ms;1,00%;0;0,989819;0,976479;1,348%;80498,000 ms (80,498 s);80792,000 ms (80,792 s);39797,714 ms (39,798 s);40089,634 ms (40,090 s);79887,348 ms (79,887 s);1,025424;1,037862;1,198%;-3,786%;-2,542%
snapshot;2026-03-21T15:17:28.267Z;0024;loser;0023;B04.S02.S01;1;threshold sweep from winner: bulk copy threshold 256->192;medium;57,794 ms;60,330 ms;58,463 ms;54,681 ms;0,690%;-1,157%;1,004952;-0,495%;0023;1,056662;3,626%;quick,medium,balanced;overall_geomean_score_p50;1,042404;1,145541;9,003%;1,004952;1,044314;3,769%;1,008101;0,986203;-2,220%;7/7;0;275,617 ms;1,00%;0;1,044314;1,004952;3,769%;78630,000 ms (78,630 s);78915,000 ms (78,915 s);39155,636 ms (39,156 s);38907,857 ms (38,908 s);78063,493 ms (78,063 s);1,018345;1,056662;3,626%;-5,666%;-1,835%
snapshot;2026-03-21T15:18:58.894Z;0025;loser;0024;B04.S02.S01;2;speculative opposite sweep: bulk copy threshold 192->320;medium;57,002 ms;56,343 ms;57,243 ms;56,780 ms;1,515%;-0,422%;0,995887;0,411%;0023;0,998432;-0,450%;quick,medium,balanced;overall_geomean_score_p50;1,024167;1,034509;1,000%;0,995887;0,963658;-3,344%;0,989053;0,998385;0,935%;7/7;0;285,284 ms;1,00%;0;0,963658;0,995887;-3,344%;79801,000 ms (79,801 s);80102,000 ms (80,102 s);39578,421 ms (39,578 s);39613,803 ms (39,614 s);79192,224 ms (79,192 s);1,002921;0,998432;-0,450%;0,157%;-0,292%
snapshot;2026-03-21T15:20:33.089Z;0026;loser;0025;B04.S02.S01;3;speculative midpoint sweep: bulk copy threshold 320->288;medium;57,989 ms;57,791 ms;56,161 ms;52,581 ms;-1,555%;3,153%;0,974375;2,563%;0023;0,995658;-2,296%;quick,medium,balanced;overall_geomean_score_p50;1,067444;1,018837;-4,771%;0,974375;0,970278;-0,422%;1,015862;0,998457;-1,743%;7/7;0;293,754 ms;1,00%;0;0,970278;0,974375;-0,422%;80030,000 ms (80,030 s);80333,000 ms (80,333 s);39130,490 ms (39,130 s);40268,711 ms (40,269 s);79399,201 ms (79,399 s);1,018518;0,995658;-2,296%;0,434%;-1,852%
snapshot;2026-03-21T15:22:12.892Z;0027;loser;0026;B04.S02.S01;4;combine case4 insertion shift + BULK_COPY_THRESHOLD 24;medium;60,354 ms;59,516 ms;58,559 ms;53,084 ms;0,506%;2,974%;1,001504;-0,150%;0023;0,998726;-1,466%;quick,medium,balanced;overall_geomean_score_p50;1,031440;1,030358;-0,105%;1,001504;0,963307;-3,965%;1,007410;1,003658;-0,374%;7/7;0;275,706 ms;1,00%;0;0,963307;1,001504;-3,965%;79617,000 ms (79,617 s);79903,000 ms (79,903 s);39977,894 ms (39,978 s);39079,068 ms (39,079 s);79056,962 ms (79,057 s);1,013369;0,998726;-1,466%;0,127%;-1,337%
snapshot;2026-03-21T15:23:41.395Z;0028;loser;0027;B04.S02.S01;5;case4 fast path with threshold reset 24->256;medium;57,860 ms;57,392 ms;57,748 ms;55,342 ms;0,759%;0,192%;0,997357;0,264%;0023;1,002082;-0,359%;quick,medium,balanced;overall_geomean_score_p50;1,044051;1,033080;-1,062%;0,997357;0,994271;-0,310%;0,976809;0,979651;0,290%;7/7;0;268,249 ms;1,00%;0;0,994271;0,997357;-0,310%;78942,000 ms (78,942 s);79220,000 ms (79,220 s);38896,637 ms (38,897 s);39470,969 ms (39,471 s);78367,607 ms (78,368 s);1,005682;1,002082;-0,359%;-0,208%;-0,568%
snapshot;2026-03-21T15:25:19.437Z;0029;loser;0023;B04.S02.S02;1;adaptive sibling: bulk copy threshold 256->384;medium;57,428 ms;54,916 ms;56,447 ms;53,656 ms;2,443%;1,709%;0,962164;3,784%;0023;1,006450;0,604%;quick,medium,balanced;overall_geomean_score_p50;1,048995;1,046773;-0,212%;0,962164;0,974039;1,219%;0,991884;0,999881;0,800%;7/7;0;275,984 ms;1,00%;0;0,974039;0,962164;1,219%;78848,000 ms (78,848 s);79133,000 ms (79,133 s);39024,845 ms (39,025 s);39236,055 ms (39,236 s);78260,900 ms (78,261 s);1,000371;1,006450;0,604%;-0,645%;-0,037%
snapshot;2026-03-21T15:26:51.373Z;0030;winner;0029;B04.S02.S02;2;adaptive continuation: bulk copy threshold 384->512;medium;58,707 ms;61,362 ms;55,864 ms;54,417 ms;7,271%;4,843%;0,948037;5,196%;0023;0,999532;7,193%;quick,medium,balanced;overall_geomean_score_p50;0,849253;1,021872;16,892%;0,948037;0,978069;3,071%;0,991443;0,999134;0,770%;7/7;0;436,758 ms;1,00%;0;0,978069;0,948037;3,071%;78864,000 ms (78,864 s);79321,000 ms (79,321 s);39140,667 ms (39,141 s);39116,789 ms (39,117 s);78257,456 ms (78,257 s);0,927634;0,999532;7,193%;0,047%;7,237%
snapshot;2026-03-21T15:32:40.599Z;0031;loser;0030;B04.S02.S02.S01;1;anchor 0030 sibling: bulk copy threshold 512->640;medium;53,373 ms;48,880 ms;51,041 ms;47,012 ms;-5,552%;4,369%;0,962943;3,706%;0030;0,974751;-0,450%;quick,medium,balanced;overall_geomean_score_p50;1,026030;1,006560;-1,934%;0,962943;0,947949;-1,582%;0,950093;0,970638;2,117%;7/7;0;271,738 ms;1,00%;0;0,947949;0,962943;-1,582%;74417,000 ms (74,417 s);74699,000 ms (74,699 s);36490,507 ms (36,491 s);37373,403 ms (37,373 s);73863,910 ms (73,864 s);0,979134;0,974751;-0,450%;2,525%;2,087%
snapshot;2026-03-21T15:34:12.738Z;0032;loser;0031;B04.S02.S02.S01;2;speculative continuation: bulk copy threshold 640->448;medium;57,421 ms;59,747 ms;56,829 ms;58,127 ms;-2,232%;1,032%;0,980299;1,970%;0030;1,013132;1,199%;quick,medium,balanced;overall_geomean_score_p50;1,020510;0,985863;-3,514%;0,980299;1,004994;2,457%;1,002562;1,049586;4,480%;7/7;0;290,947 ms;1,00%;0;1,004994;0,980299;2,457%;77720,000 ms (77,720 s);78023,000 ms (78,023 s);37979,377 ms (37,979 s);39189,288 ms (39,189 s);77168,664 ms (77,169 s);1,000988;1,013132;1,199%;-1,313%;-0,099%
snapshot;2026-03-21T15:35:29.379Z;0033;loser;0032;B04.S02.S02.S01;3;guardrail recovery attempt: bulk copy threshold 448->496;medium;51,516 ms;47,892 ms;50,727 ms;46,281 ms;0,859%;1,532%;0,978305;2,170%;0030;0,985288;-0,721%;quick,medium,balanced;overall_geomean_score_p50;1,000244;1,014639;1,419%;0,978305;0,969882;-0,868%;0,998767;0,971984;-2,755%;7/7;0;257,124 ms;1,00%;0;0,969882;0,978305;-0,868%;68532,000 ms (68,532 s);68798,000 ms (68,798 s);34054,164 ms (34,054 s);33940,842 ms (33,941 s);67995,006 ms (67,995 s);0,992388;0,985288;-0,721%;1,471%;0,761%
snapshot;2026-03-21T15:36:48.780Z;0034;loser;0033;B04.S02.S02.S01;4;speculative non-threshold tweak: minGalloping 8->9 with threshold496;medium;53,838 ms;49,358 ms;49,580 ms;44,892 ms;3,846%;7,908%;0,939298;6,070%;0030;0,943707;-1,115%;quick,medium,balanced;overall_geomean_score_p50;0,984438;0,955319;-3,048%;0,939298;0,920988;-1,988%;0,939639;0,955233;1,632%;7/7;0;263,882 ms;1,00%;0;0,920988;0,939298;-1,988%;69271,000 ms (69,271 s);69543,000 ms (69,543 s);34371,362 ms (34,371 s);34367,626 ms (34,368 s);68738,988 ms (68,739 s);0,954225;0,943707;-1,115%;5,629%;4,578%
snapshot;2026-03-21T15:38:10.608Z;0035;loser;0034;B04.S02.S02.S01;5;final speculative opposite gallop bias: minGalloping 9->7 with threshold496;medium;52,937 ms;46,908 ms;49,380 ms;43,399 ms;1,068%;6,720%;0,931803;6,820%;0030;0,940109;-0,418%;quick,medium,balanced;overall_geomean_score_p50;0,966414;0,958683;-0,806%;0,931803;0,908509;-2,564%;0,934283;0,953959;2,063%;7/7;0;255,569 ms;1,00%;0;0,908509;0,931803;-2,564%;69573,000 ms (69,573 s);69838,000 ms (69,838 s);34421,945 ms (34,422 s);34593,121 ms (34,593 s);69015,066 ms (69,015 s);0,944036;0,940109;-0,418%;5,989%;5,596%
snapshot;2026-03-21T15:39:43.699Z;0036;loser;0030;B04.S02.S02.S02;1;anchor 0030 sibling: add case4 insertion-shift fast path with threshold512;medium;51,684 ms;49,628 ms;49,563 ms;46,596 ms;-5,324%;4,105%;0,970532;2,947%;0030;0,961436;-1,621%;quick,medium,balanced;overall_geomean_score_p50;0,985680;0,946896;-4,096%;0,970532;0,964603;-0,615%;0,974914;0,972994;-0,197%;7/7;0;250,221 ms;1,00%;0;0,964603;0,970532;-0,615%;68140,000 ms (68,140 s);68399,000 ms (68,399 s);33750,734 ms (33,751 s);33854,714 ms (33,855 s);67605,449 ms (67,605 s);0,977021;0,961436;-1,621%;3,856%;2,298%
snapshot;2026-03-21T15:41:05.195Z;0037;loser;0036;B04.S02.S02.S02;2;speculative continuation: keep case4 and raise bulk threshold 512->1024;medium;50,939 ms;47,291 ms;49,147 ms;43,731 ms;0,077%;3,518%;0,971336;2,866%;0030;0,986169;1,004%;quick,medium,balanced;overall_geomean_score_p50;0,981624;1,024122;4,150%;0,971336;0,975704;0,448%;0,975883;0,959808;-1,675%;7/7;0;271,513 ms;1,00%;0;0,975704;0,971336;0,448%;67573,000 ms (67,573 s);67853,000 ms (67,853 s);33400,856 ms (33,401 s);33639,907 ms (33,640 s);67040,764 ms (67,041 s);0,976272;0,986169;1,004%;1,383%;2,373%
snapshot;2026-03-21T15:42:20.881Z;0038;loser;0037;B04.S02.S02.S02;3;guardrail tuning: lower bulk threshold 1024->768 with case4;medium;52,013 ms;50,138 ms;48,767 ms;43,673 ms;0,103%;6,241%;0,947316;5,268%;0030;0,984932;0,982%;quick,medium,balanced;overall_geomean_score_p50;1,003924;1,001235;-0,269%;0,947316;0,966397;1,974%;0,975370;0,987476;1,226%;7/7;0;247,999 ms;1,00%;0;0,966397;0,947316;1,974%;67736,000 ms (67,736 s);67994,000 ms (67,994 s);33498,807 ms (33,499 s);33624,639 ms (33,625 s);67123,446 ms (67,123 s);0,975263;0,984932;0,982%;1,507%;2,474%
snapshot;2026-03-21T15:43:40.181Z;0039;winner;0038;B04.S02.S02.S02;4;fine sweep near threshold: bulk copy threshold 768->832 with case4;medium;51,191 ms;47,608 ms;48,982 ms;43,023 ms;-0,084%;4,316%;0,961808;3,819%;0030;0,998151;2,211%;quick,medium,balanced;overall_geomean_score_p50;1,001833;1,059469;5,440%;0,961808;0,957040;-0,498%;0,965099;0,980778;1,599%;7/7;0;252,727 ms;1,00%;0;0,957040;0,961808;-0,498%;68080,000 ms (68,080 s);68342,000 ms (68,342 s);33663,781 ms (33,664 s);33885,506 ms (33,886 s);67549,287 ms (67,549 s);0,976079;0,998151;2,211%;0,185%;2,392%
