type;created_at;snapshot_id;status;parent;branch;depth;idea;benchmark_preset;native_avg;native_p50;timsort_avg;timsort_p50;delta_vs_immediate_parent_overall_score_p50;display_preset_improvement_vs_native_avg;preset_score_p50;display_preset_improvement_vs_native_p50;anchor_id;anchor_score_p50;delta_vs_anchor_score_p50;suite_presets;primary_metric;benchmark_flow;order_mode;ab_testing;warmup_enabled;warmup_runs_per_combination;preset_quick_score_p50;anchor_preset_quick_score_p50;delta_vs_anchor_preset_quick_score_p50;preset_medium_score_p50;anchor_preset_medium_score_p50;delta_vs_anchor_preset_medium_score_p50;preset_balanced_score_p50;anchor_preset_balanced_score_p50;delta_vs_anchor_preset_balanced_score_p50;passed;failed;total_ms;threshold;tests_failed;anchor_preset_score_p50;current_preset_score_p50;delta_vs_anchor_preset_score_p50;benchmark_step_total;iteration_total;suite_benchmark_current_total;suite_benchmark_parent_total;suite_benchmark_combined_total;overall_score_p50;anchor_overall_score_p50;delta_vs_anchor_overall_score_p50;anchor_improvement_vs_native_overall_p50;improvement_vs_native_overall_p50;reason;anchor;syntax_message
snapshot;2026-03-23T11:31:06.298Z;0011;loser;0000;B03;1;B03 depth1: unroll copyFromBuffer loop by 8 instead of 4;medium;65,456 ms;67,906 ms;62,690 ms;63,060 ms;n/a;4,226%;0,971857;2,814%;0000;0,975471;-0,886%;quick,medium,balanced;overall_geomean_score_p50;shared_preset_session_native_anchor_candidate;alternate;off;on;1;0,981472;0,959541;-2,286%;0,971857;0,985208;1,355%;0,999213;0,981864;-1,767%;7/7;0;385,636 ms;1,00%;0;0,985208;0,971857;1,355%;84839,000 ms (84,839 s);85235,000 ms (85,235 s);19256,524 ms (19,257 s);19410,887 ms (19,411 s);58278,009 ms (58,278 s);0,984115;0,975471;-0,886%;2,453%;1,588%;;;
snapshot;2026-03-23T11:32:50.962Z;0012;winner;0011;B03;2;B03 depth2: with unroll8, raise BULK_COPY_THRESHOLD 512->1024;medium;66,523 ms;65,694 ms;64,412 ms;59,732 ms;2,284%;3,173%;0,954574;4,543%;0000;0,979619;1,836%;quick,medium,balanced;overall_geomean_score_p50;shared_preset_session_native_anchor_candidate;alternate;off;on;1;0,937221;0,967405;3,120%;0,954574;0,956680;0,220%;0,993986;1,015774;2,145%;7/7;0;394,812 ms;1,00%;0;0,956680;0,954574;0,220%;84831,000 ms (84,831 s);85237,000 ms (85,237 s);19131,416 ms (19,131 s);19376,037 ms (19,376 s);58215,835 ms (58,216 s);0,961636;0,979619;1,836%;2,038%;3,836%;;;
snapshot;2026-03-23T11:34:40.559Z;0013;loser;0012;B03.S01;1;B03.S01 depth1: from winner 0012, lower BULK_COPY_THRESHOLD 1024->896;medium;64,754 ms;69,329 ms;63,548 ms;66,143 ms;-0,284%;1,862%;0,981946;1,805%;0012;0,974816;1,072%;quick,medium,balanced;overall_geomean_score_p50;shared_preset_session_native_anchor_candidate;alternate;off;on;1;0,946978;0,972385;2,613%;0,981946;0,996618;1,472%;0,964486;0,955875;-0,901%;7/7;0;405,254 ms;1,00%;0;0,996618;0,981946;1,472%;84615,000 ms (84,615 s);85031,000 ms (85,031 s);18980,565 ms (18,981 s);19271,966 ms (19,272 s);57989,375 ms (57,989 s);0,964364;0,974816;1,072%;2,518%;3,564%;;;
snapshot;2026-03-23T11:36:23.549Z;0014;loser;0013;B03.S01;2;B03.S01 depth2: threshold sweep opposite 896->1152 around winner 0012;medium;65,879 ms;66,810 ms;61,826 ms;65,265 ms;1,952%;6,152%;0,946609;5,339%;0012;0,944221;-0,140%;quick,medium,balanced;overall_geomean_score_p50;shared_preset_session_native_anchor_candidate;alternate;off;on;1;0,930044;0,938232;0,873%;0,946609;0,929717;-1,817%;0,960211;0,965071;0,504%;7/7;0;401,338 ms;1,00%;0;0,929717;0,946609;-1,817%;84935,000 ms (84,935 s);85344,000 ms (85,344 s);19130,689 ms (19,131 s);19033,191 ms (19,033 s);58384,101 ms (58,384 s);0,945541;0,944221;-0,140%;5,578%;5,446%;;;
snapshot;2026-03-23T11:38:05.417Z;0015;loser;0014;B03.S01;3;B03.S01 depth3: with unroll8+threshold1152, raise DEFAULT_MIN_GALLOPING 8->9;medium;64,377 ms;65,625 ms;62,888 ms;64,361 ms;-0,665%;2,313%;0,958077;4,192%;0012;0,963166;1,177%;quick,medium,balanced;overall_geomean_score_p50;shared_preset_session_native_anchor_candidate;alternate;off;on;1;0,914435;0,925760;1,223%;0,958077;0,987899;3,019%;0,984280;0,976994;-0,746%;7/7;0;376,841 ms;1,00%;0;0,987899;0,958077;3,019%;84787,000 ms (84,787 s);85174,000 ms (85,174 s);19070,165 ms (19,070 s);19375,559 ms (19,376 s);58096,533 ms (58,097 s);0,951825;0,963166;1,177%;3,683%;4,817%;;;
snapshot;2026-03-23T11:39:45.685Z;0016;winner;0015;B03.S01;4;B03.S01 depth4: tighten BULK_COPY_THRESHOLD 1152->1088 with minGalloping9;medium;63,650 ms;66,128 ms;62,376 ms;61,976 ms;-2,647%;2,002%;0,968025;3,197%;0012;0,988904;1,202%;quick,medium,balanced;overall_geomean_score_p50;shared_preset_session_native_anchor_candidate;alternate;off;on;1;0,999174;1,002366;0,318%;0,968025;0,983547;1,578%;0,964232;0,980937;1,703%;7/7;0;381,137 ms;1,00%;0;0,983547;0,968025;1,578%;84148,000 ms (84,148 s);84537,000 ms (84,537 s);19088,745 ms (19,089 s);19115,582 ms (19,116 s);57783,594 ms (57,784 s);0,977019;0,988904;1,202%;1,110%;2,298%;;;
snapshot;2026-03-23T11:41:30.876Z;0017;winner;0016;B03.S01.S01;1;B03.S01.S01 depth1: from anchor0016 raise DEFAULT_MIN_GALLOPING 9->10;medium;63,424 ms;61,935 ms;61,650 ms;62,794 ms;-0,328%;2,797%;1,003775;-0,378%;0016;0,992998;1,286%;quick,medium,balanced;overall_geomean_score_p50;shared_preset_session_native_anchor_candidate;alternate;off;on;1;0,950663;0,967304;1,720%;1,003775;1,025803;2,147%;0,986993;0,986773;-0,022%;7/7;0;376,455 ms;1,00%;0;1,025803;1,003775;2,147%;84355,000 ms (84,355 s);84741,000 ms (84,741 s);19048,671 ms (19,049 s);19223,651 ms (19,224 s);57779,713 ms (57,780 s);0,980225;0,992998;1,286%;0,700%;1,978%;;;
snapshot;2026-03-23T11:43:26.225Z;0018;winner;0017;B03.S01.S01.S01;1;B03.S01.S01.S01 depth1: from anchor0017 raise DEFAULT_MIN_MERGE 40->64;medium;65,251 ms;66,211 ms;61,105 ms;61,578 ms;6,676%;6,354%;0,915221;8,478%;0017;0,943701;3,064%;quick,medium,balanced;overall_geomean_score_p50;shared_preset_session_native_anchor_candidate;alternate;off;on;1;0,882881;0,914441;3,451%;0,915221;0,946967;3,352%;0,947391;0,970539;2,385%;7/7;0;394,900 ms;1,00%;0;0,946967;0,915221;3,352%;83962,000 ms (83,962 s);84366,000 ms (84,366 s);18636,572 ms (18,637 s);19148,249 ms (19,148 s);57611,765 ms (57,612 s);0,914785;0,943701;3,064%;5,630%;8,521%;;;
snapshot;2026-03-23T11:45:09.701Z;0019;loser;0018;B03.S01.S01.S01.S01;1;B03.S01.S01.S01.S01 depth1: from anchor0018 sweep DEFAULT_MIN_MERGE 64->72;medium;64,532 ms;68,507 ms;62,268 ms;66,051 ms;-3,975%;3,509%;0,945565;5,444%;0018;0,959574;0,878%;quick,medium,balanced;overall_geomean_score_p50;shared_preset_session_native_anchor_candidate;alternate;off;on;1;0,947762;0,953877;0,641%;0,945565;0,970022;2,521%;0,960182;0,954907;-0,552%;7/7;0;391,163 ms;1,00%;0;0,970022;0,945565;2,521%;84642,000 ms (84,642 s);85043,000 ms (85,043 s);19027,529 ms (19,028 s);19035,330 ms (19,035 s);57846,943 ms (57,847 s);0,951148;0,959574;0,878%;4,043%;4,885%;;;
snapshot;2026-03-23T11:46:53.191Z;0020;loser;0019;B03.S01.S01.S01.S01;2;B03.S01.S01.S01.S01 depth2: refine DEFAULT_MIN_MERGE 72->68;medium;65,181 ms;63,518 ms;61,781 ms;62,070 ms;-1,727%;5,216%;0,937179;6,282%;0018;0,958863;-0,909%;quick,medium,balanced;overall_geomean_score_p50;shared_preset_session_native_anchor_candidate;alternate;off;on;1;0,995823;1,011888;1,588%;0,937179;0,919381;-1,936%;0,970630;0,947636;-2,426%;7/7;0;389,925 ms;1,00%;0;0,919381;0,937179;-1,936%;84564,000 ms (84,564 s);84963,000 ms (84,963 s);19100,195 ms (19,100 s);18947,216 ms (18,947 s);58015,394 ms (58,015 s);0,967578;0,958863;-0,909%;4,114%;3,242%;;;
snapshot;2026-03-23T11:48:40.009Z;0021;loser;0020;B03.S01.S01.S01.S01;3;B03.S01.S01.S01.S01 depth3: lower DEFAULT_MIN_MERGE 68->60;medium;65,377 ms;68,993 ms;61,135 ms;60,484 ms;1,310%;6,489%;0,940037;5,996%;0018;0,955642;0,077%;quick,medium,balanced;overall_geomean_score_p50;shared_preset_session_native_anchor_candidate;alternate;off;on;1;0,961440;0,953854;-0,795%;0,940037;0,952644;1,323%;0,963424;0,960447;-0,310%;7/7;0;403,316 ms;1,00%;0;0,952644;0,940037;1,323%;83405,000 ms (83,405 s);83820,000 ms (83,820 s);18726,818 ms (18,727 s);18667,713 ms (18,668 s);56929,148 ms (56,929 s);0,954908;0,955642;0,077%;4,436%;4,509%;;;
snapshot;2026-03-23T11:50:37.615Z;0022;loser;0021;B03.S01.S01.S01.S01;4;B03.S01.S01.S01.S01 depth4: with minMerge60, lower BULK_COPY_THRESHOLD 1088->1024;medium;65,032 ms;67,622 ms;61,907 ms;62,416 ms;0,998%;4,806%;0,958420;4,158%;0018;0,961235;1,649%;quick,medium,balanced;overall_geomean_score_p50;shared_preset_session_native_anchor_candidate;alternate;off;on;1;0,913100;0,966818;5,556%;0,958420;0,949671;-0,921%;0,965484;0,967322;0,190%;7/7;0;424,038 ms;1,00%;0;0,949671;0,958420;-0,921%;83862,000 ms (83,862 s);84295,000 ms (84,295 s);18656,511 ms (18,657 s);18812,590 ms (18,813 s);57107,270 ms (57,107 s);0,945380;0,961235;1,649%;3,876%;5,462%;;;
snapshot;2026-03-23T11:52:30.500Z;0023;loser;0022;B03.S01.S01.S01.S01;5;B03.S01.S01.S01.S01 depth5: final try raise DEFAULT_MIN_GALLOPING 10->11;medium;65,927 ms;68,216 ms;61,736 ms;59,362 ms;-1,610%;6,358%;0,935422;6,458%;0018;0,953992;-0,692%;quick,medium,balanced;overall_geomean_score_p50;shared_preset_session_native_anchor_candidate;alternate;off;on;1;0,975114;0,965410;-1,005%;0,935422;0,943770;0,884%;0,971767;0,952921;-1,978%;7/7;0;411,517 ms;1,00%;0;0,943770;0,935422;0,884%;84620,000 ms (84,620 s);85047,000 ms (85,047 s);18995,277 ms (18,995 s);18880,416 ms (18,880 s);57834,369 ms (57,834 s);0,960598;0,953992;-0,692%;4,601%;3,940%;;;
snapshot;2026-03-23T11:54:22.610Z;0024;loser;0018;B03.S01.S01.S01.S02;1;B03.S01.S01.S01.S02 depth1: sibling sweep DEFAULT_MIN_MERGE 64->56;medium;62,923 ms;64,719 ms;62,280 ms;60,903 ms;-4,830%;1,023%;0,987514;1,249%;0018;0,959766;0,083%;quick,medium,balanced;overall_geomean_score_p50;shared_preset_session_native_anchor_candidate;alternate;off;on;1;0,933667;0,949829;1,702%;0,987514;0,967153;-2,105%;0,956480;0,962399;0,615%;7/7;0;407,309 ms;1,00%;0;0,967153;0,987514;-2,105%;84026,000 ms (84,026 s);84448,000 ms (84,448 s);19009,963 ms (19,010 s);18764,231 ms (18,764 s);57353,959 ms (57,354 s);0,958967;0,959766;0,083%;4,023%;4,103%;;;
snapshot;2026-03-23T11:56:16.186Z;0025;loser;0024;B03.S01.S01.S01.S02;2;B03.S01.S01.S01.S02 depth2: with minMerge56 lower BULK_COPY_THRESHOLD 1088->1024;medium;65,887 ms;67,191 ms;61,854 ms;62,198 ms;1,572%;6,120%;0,930473;6,953%;0018;0,945579;0,179%;quick,medium,balanced;overall_geomean_score_p50;shared_preset_session_native_anchor_candidate;alternate;off;on;1;0,939023;0,964018;2,593%;0,930473;0,913274;-1,883%;0,962458;0,960301;-0,225%;7/7;0;432,169 ms;1,00%;0;0,913274;0,930473;-1,883%;84405,000 ms (84,405 s);84846,000 ms (84,846 s);18983,580 ms (18,984 s);19051,479 ms (19,051 s);58161,792 ms (58,162 s);0,943888;0,945579;0,179%;5,442%;5,611%;;;
snapshot;2026-03-23T11:58:02.154Z;0026;loser;0025;B03.S01.S01.S01.S02;3;B03.S01.S01.S01.S02 depth3: raise DEFAULT_MIN_GALLOPING 10->11;medium;65,367 ms;66,112 ms;63,359 ms;63,523 ms;-0,899%;3,073%;0,977054;2,295%;0018;0,932681;-2,111%;quick,medium,balanced;overall_geomean_score_p50;shared_preset_session_native_anchor_candidate;alternate;off;on;1;0,902446;0,908943;0,715%;0,977054;0,946255;-3,255%;0,979668;0,943309;-3,854%;7/7;0;414,736 ms;1,00%;0;0,946255;0,977054;-3,255%;84629,000 ms (84,629 s);85055,000 ms (85,055 s);19347,740 ms (19,348 s);18908,072 ms (18,908 s);58095,213 ms (58,095 s);0,952371;0,932681;-2,111%;6,732%;4,763%;;;
snapshot;2026-03-23T11:59:45.867Z;0027;loser;0026;B03.S01.S01.S01.S02;4;B03.S01.S01.S01.S02 depth4: lower DEFAULT_MIN_MERGE 56->52 for recovery;medium;64,580 ms;65,819 ms;61,881 ms;60,556 ms;1,020%;4,179%;0,960963;3,904%;0018;0,948213;0,586%;quick,medium,balanced;overall_geomean_score_p50;shared_preset_session_native_anchor_candidate;alternate;off;on;1;0,937643;0,920834;-1,825%;0,960963;0,969398;0,870%;0,929653;0,955067;2,661%;7/7;0;382,460 ms;1,00%;0;0,969398;0,960963;0,870%;84056,000 ms (84,056 s);84454,000 ms (84,454 s);18650,624 ms (18,651 s);19011,479 ms (19,011 s);57269,397 ms (57,269 s);0,942660;0,948213;0,586%;5,179%;5,734%;;;
snapshot;2026-03-23T12:01:31.363Z;0028;loser;0027;B03.S01.S01.S01.S02;5;B03.S01.S01.S01.S02 depth5: final try restore DEFAULT_MIN_GALLOPING 11->10;medium;65,464 ms;67,905 ms;62,095 ms;64,504 ms;-1,400%;5,147%;0,964254;3,575%;0018;0,960579;0,492%;quick,medium,balanced;overall_geomean_score_p50;shared_preset_session_native_anchor_candidate;alternate;off;on;1;0,931072;0,932804;0,186%;0,964254;0,989706;2,572%;0,972747;0,960069;-1,321%;7/7;0;408,231 ms;1,00%;0;0,989706;0,964254;2,572%;84489,000 ms (84,489 s);84908,000 ms (84,908 s);18983,586 ms (18,984 s);19086,310 ms (19,086 s);57825,297 ms (57,825 s);0,955854;0,960579;0,492%;3,942%;4,415%;;;
snapshot;2026-03-23T12:03:45.666Z;0029;loser;0018;B03.S01.S01.S01.S03;1;B03.S01.S01.S01.S03 depth1: combine case4 insertion shift with BULK_COPY_THRESHOLD 1088->24;medium;65,682 ms;67,867 ms;82,054 ms;83,655 ms;-36,819%;-24,925%;1,284493;-28,449%;0018;0,956443;-30,860%;quick,medium,balanced;overall_geomean_score_p50;shared_preset_session_native_anchor_candidate;alternate;off;on;1;1,176785;0,939104;-25,309%;1,284493;0,949975;-35,213%;1,297086;0,980736;-32,256%;7/7;0;557,017 ms;1,00%;0;0,949975;1,284493;-35,213%;92095,000 ms (92,095 s);92664,000 ms (92,664 s);24668,461 ms (24,668 s);19102,477 ms (19,102 s);63527,055 ms (63,527 s);1,251601;0,956443;-30,860%;4,356%;-25,160%;;;
snapshot;2026-03-23T12:05:29.177Z;0030;loser;0029;B03.S01.S01.S01.S03;2;B03.S01.S01.S01.S03 depth2: keep case4 fast path, recover BULK_COPY_THRESHOLD 24->512;medium;64,399 ms;64,852 ms;61,906 ms;62,186 ms;23,792%;3,871%;0,970795;2,920%;0018;0,944695;-0,966%;quick,medium,balanced;overall_geomean_score_p50;shared_preset_session_native_anchor_candidate;alternate;off;on;1;0,916227;0,893254;-2,572%;0,970795;0,981983;1,139%;0,975602;0,961160;-1,503%;7/7;0;405,105 ms;1,00%;0;0,981983;0,970795;1,139%;83769,000 ms (83,769 s);84185,000 ms (84,185 s);18795,521 ms (18,796 s);18947,499 ms (18,947 s);57267,320 ms (57,267 s);0,953823;0,944695;-0,966%;5,531%;4,618%;;;
snapshot;2026-03-23T12:07:12.817Z;0031;loser;0030;B03.S01.S01.S01.S03;3;B03.S01.S01.S01.S03 depth3: keep case4, sweep BULK_COPY_THRESHOLD 512->1024;medium;65,438 ms;68,768 ms;60,849 ms;64,383 ms;0,429%;7,012%;0,919188;8,081%;0018;0,949351;-0,040%;quick,medium,balanced;overall_geomean_score_p50;shared_preset_session_native_anchor_candidate;alternate;off;on;1;0,967677;0,940537;-2,886%;0,919188;0,952161;3,463%;0,963093;0,955420;-0,803%;7/7;0;388,560 ms;1,00%;0;0,952161;0,919188;3,463%;84259,000 ms (84,259 s);84655,000 ms (84,655 s);18822,419 ms (18,822 s);18990,314 ms (18,990 s);57611,103 ms (57,611 s);0,949732;0,949351;-0,040%;5,065%;5,027%;;;
snapshot;2026-03-23T12:09:06.525Z;0032;loser;0031;B03.S01.S01.S01.S03;4;B03.S01.S01.S01.S03 depth4: with case4+threshold1024 lower DEFAULT_MIN_MERGE 64->60;medium;64,815 ms;67,471 ms;62,316 ms;62,553 ms;-2,157%;3,855%;0,958852;4,115%;0018;0,989964;1,995%;quick,medium,balanced;overall_geomean_score_p50;shared_preset_session_native_anchor_candidate;alternate;off;on;1;0,977103;1,029443;5,084%;0,958852;0,974328;1,588%;0,974803;0,967277;-0,778%;7/7;0;404,798 ms;1,00%;0;0,974328;0,958852;1,588%;84948,000 ms (84,948 s);85362,000 ms (85,362 s);19113,650 ms (19,114 s);19134,700 ms (19,135 s);57964,798 ms (57,965 s);0,970219;0,989964;1,995%;1,004%;2,978%;;;
snapshot;2026-03-23T12:10:56.612Z;0033;loser;0032;B03.S01.S01.S01.S03;5;B03.S01.S01.S01.S03 depth5: final try lower BULK_COPY_THRESHOLD 1024->896;medium;65,223 ms;67,164 ms;63,016 ms;60,227 ms;0,352%;3,384%;0,957360;4,264%;0018;0,963893;-0,302%;quick,medium,balanced;overall_geomean_score_p50;shared_preset_session_native_anchor_candidate;alternate;off;on;1;0,968613;0,981037;1,266%;0,957360;0,936501;-2,227%;0,974523;0,974749;0,023%;7/7;0;429,609 ms;1,00%;0;0,936501;0,957360;-2,227%;84788,000 ms (84,788 s);85230,000 ms (85,230 s);19153,181 ms (19,153 s);19146,150 ms (19,146 s);58110,320 ms (58,110 s);0,966806;0,963893;-0,302%;3,611%;3,319%;;;
snapshot;2026-03-23T12:12:50.048Z;0034;loser;0017;B03.S01.S01.S02;1;B03.S01.S01.S02 depth1: sibling from 0017 raise DEFAULT_MIN_MERGE 40->56;medium;64,811 ms;67,147 ms;62,316 ms;63,531 ms;1,310%;3,850%;0,979843;2,016%;0017;0,960774;-0,688%;quick,medium,balanced;overall_geomean_score_p50;shared_preset_session_native_anchor_candidate;alternate;off;on;1;0,963203;0,962516;-0,071%;0,979843;0,961271;-1,932%;0,959242;0,958538;-0,073%;7/7;0;369,760 ms;1,00%;0;0,961271;0,979843;-1,932%;84800,000 ms (84,800 s);85180,000 ms (85,180 s);18971,991 ms (18,972 s);19120,554 ms (19,121 s);58039,856 ms (58,040 s);0,967388;0,960774;-0,688%;3,923%;3,261%;;;
